No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
34,WISEA J220149.00-600453.8,22h01m49.0075s,-60d04m53.851s,330.454198,-60.0816254,G,29826.051853962,0.099489,SUN,8.07859814163371,2,0,20,4,1,0,0,0,0,0
35,WISEA J220247.73-595222.5,22h02m47.7354s,-59d52m22.518s,330.6988977,-59.8729219,G,33128.56557129,0.110505,PUN,8.13724792589351,1,0,28,5,1,2,0,0,1,0
36,WISEA J220051.56-595930.0,22h00m51.5692s,-59d59m30.050s,330.214872,-59.9916807,G,30321.608787036,0.101142,PUN,8.1871096591482,2,0,32,6,1,2,0,0,1,0
37,WISEA J220103.86-595110.8,22h01m03.8649s,-59d51m10.813s,330.2661038,-59.8530036,G,29075.971124046,0.096987,SUN,8.40573153933286,5,0,29,6,2,2,0,0,1,0
38,WISEA J220051.44-595312.4,22h00m51.4468s,-59d53m12.455s,330.2143617,-59.8867933,G,43555.946845446,0.145287,PUN,8.57589609095404,2,0,31,6,1,2,0,0,1,0
39,WISEA J220037.71-595449.8,22h00m37.7117s,-59d54m49.870s,330.1571324,-59.9138529,G,31259.059803202,0.104269,SUN,9.69681505871745,4,0,29,6,2,2,0,0,1,0
40,WISEA J220201.33-600656.9,22h02m01.3354s,-60d06m56.912s,330.5055642,-60.1158091,G,29549.943000144,0.098568,SUN,10.1584117651067,4,0,33,7,2,2,0,0,1,0
41,WISEA J220040.43-595152.6,22h00m40.4310s,-59d51m52.627s,330.1684627,-59.8646188,G,30646.883603966,0.102227,PUN,10.4109726310067,2,0,32,6,1,2,0,0,1,0
42,WISEA J220136.46-600851.8,22h01m36.4652s,-60d08m51.888s,330.4019387,-60.1477468,G,26403.621153434,0.088073,PUN,12.21218930706,1,0,28,5,1,2,0,0,1,0
43,WISEA J220240.50-594547.0,22h02m40.5028s,-59d45m47.088s,330.6687619,-59.7630802,G,30496.987374966,0.101727,PUN,12.532845709625,1,0,32,6,1,2,0,0,1,0
44,WISEA J220236.24-600818.6,22h02m36.2470s,-60d08m18.640s,330.6510295,-60.1385113,G,27964.040897324,0.093278,SLS,12.6557936672765,3,0,33,7,4,2,0,0,1,1
